INDICE_CNPJ;NÚMERO DE INSCRIÇÃO;DATA DE ABERTURA;NOME EMPRESARIAL;TÍTULO DO ESTABELECIMENTO (NOME DE FANTASIA);PORTE;CÓDIGO E DESCRIÇÃO DA ATIVIDADE ECONÔMICA PRINCIPAL;CÓDIGO E DESCRIÇÃO DAS ATIVIDADES ECONÔMICAS SECUNDÁRIAS;CÓDIGO E DESCRIÇÃO DA NATUREZA JURÍDICA;LOGRADOURO;NÚMERO;COMPLEMENTO;CEP;BAIRRO/DISTRITO;MUNICÍPIO;UF;ENDEREÇO ELETRÔNICO;TELEFONE;ENTE FEDERATIVO RESPONSÁVEL (EFR);SITUAÇÃO CADASTRAL;DATA DA SITUAÇÃO CADASTRAL;MOTIVO DE SITUAÇÃO CADASTRAL;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL
19169713000101;19.169.713/0001-01 MATRIZ;21/01/1976;FUNDACAO EDUCACIONAL CAIO MARTINS;FUCAM;DEMAIS;85.99-6-99 - Outras atividades de ensino não especificadas anteriormente;Não informada;114-7 - Fundação Pública de Direito Público Estadual ou do Distrito Federal;ROD PREFEITO AMERICO GIANETTI;S/N;ANDAR 14                  EDIF  PREDIO MINAS;31.630-900;SERRA VERDE;BELO HORIZONTE;MG;GPOF@EDU.FUCAM.MG.GOV.BR;(31) 3273-3366;MG;ATIVA;03/11/2005;;********;********
18715581000103;18.715.581/0001-03 MATRIZ;31/12/1974;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;********;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PREFEITO AMERICO GIANETTI S/N;4143;********;31.630-901;SERRA VERDE (VENDA NOVA);BELO HORIZONTE;MG;AURELIO.MOREIRA@TRANSPORTES.MG.GOV.BR;(31) 3915-8185;MG;ATIVA;06/09/2018;;********;********
17319831000123;17.319.831/0001-23 MATRIZ;20/06/1973;FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS;********;DEMAIS;85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial;Não informada;114-7 - Fundação Pública de Direito Público Estadual ou do Distrito Federal;AV AFONSO PENA;3400;********;30.130-009;CRUZEIRO;BELO HORIZONTE;MG;;;MG;ATIVA;24/12/2004;;********;********
38486817000194;38.486.817/0001-94 MATRIZ;26/04/1990;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;********;DEMAIS;64.33-6-00 - Bancos de desenvolvimento;Não informada;201-1 - Empresa Pública;R BAHIA;1600;********;30.160-011;CENTRO;BELO HORIZONTE;MG;;;MG;ATIVA;03/11/2005;;********;********
35682930000157;35.682.930/0001-57 MATRIZ;11/11/2019;FUNDO ESTADUAL DE SEGURANCA PUBLICA DE MINAS GERAIS;FESP-MG;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;132-5 - Fundo Público da Administração Direta Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II 4143;4001;ANDAR 5;31.630-900;SERRA VERDE (VENDA NOVA);BELO HORIZONTE;MG;SABRINA.SANTOS@SEGURANCA.MG.GOV.BR;(31) 3915-5457/ (31) 3915-5803;MG;ATIVA;11/11/2019;;********;********
16745465000101;16.745.465/0001-01 MATRIZ;25/05/1981;ADVOCACIA-GERAL DO ESTADO;GABINETE DO PROCURADOR;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;AV AFONSO PENA;4000;********;30.130-009;CRUZEIRO;BELO HORIZONTE;MG;DCF@ADVOCACIAGERAL.MG.GOV.BR;(31) 3218-0747/ (31) 3218-0800;MG;ATIVA;04/09/2018;;********;********
15438067000180;15.438.067/0001-80 MATRIZ;05/01/2012;AGENCIA DE DESENVOLVIMENTO DA REGIAO METROPOLITANA DO VALE DO ACO;********;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;111-2 - Autarquia Estadual ou do Distrito Federal;R ZITA SOARES DE OLIVEIRA;212;"ANDAR: 3 E 4;";35.160-007;CENTRO;IPATINGA;MG;GABINETE@AGENCIARMVA.MG.GOV.BR;(31) 2109-9350;MG;ATIVA;05/01/2012; ;********;********
05461142000170;05.461.142/0001-70 MATRIZ;03/01/2003;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II 3701;3701;EDIF  GERAIS              ANDAR 2;31.630-904;SERRA VERDE (VENDA NOVA);BELO HORIZONTE;MG;LUCAS.PEREIRA@PLANEJAMENTO.MG.GOV.BR;(31) 3915-0314/ (31) 3915-0317;MG;ATIVA;05/09/2018; ;********;********
00957404000178;00.957.404/0001-78 MATRIZ;11/12/1995;SECRETARIA ESTADO MEIO AMBIENTE E DESENV. SUSTENTAVEL;SEMAD;DEMAIS;84.11-6-00 - Administração pública em geral;Não informada;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II;4143;EDIF  MINAS 2 ANDAR;31.630-900;SERRA VERDE;BELO HORIZONTE;MG;GABINETE.SEMAD@MEIOAMBIENTE.MG.GOV.BR;(31) 3915-1782/ (31) 3915-1685;MG;ATIVA;28/07/1998; ;********;********
21154554000113;21.154.554/0001-13 MATRIZ;23/06/1980;TRIBUNAL DA JUSTICA DO ESTADO DE MINAS GERAIS;TJMG;DEMAIS;84.23-0-00 - Justiça;Não informada;108-2 - Órgão Público do Poder Judiciário Estadual;AV AFONSO PENA;4001;********;30.130-924;SERRA;BELO HORIZONTE;MG; ;(31) 3207-7955/ (31) 3207-7954;MG;ATIVA;28/07/1998; ;********;********
17503475000101;17.503.475/0001-01 MATRIZ;10/05/1971;FUNDACAO EZEQUIEL DIAS;FUNED;DEMAIS;84.11-6-00 - Administração pública em geral;21.10-6-00 - Fabricação de produtos farmoquímicos;114-7 - Fundação Pública de Direito Público Estadual ou do Distrito Federal;R CONDE PEREIRA CARNEIRO;80;********;30.510-010;GAMELEIRA;BELO HORIZONTE;MG;funed@funed.mg.gov.br;;MG;ATIVA;03/11/2005; ;********;********
38486817000194;38.486.817/0001-94 MATRIZ;26/04/1990;BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A. - BDMG;********;DEMAIS;64.33-6-00 - Bancos de desenvolvimento;Não informada;201-1 - Empresa Pública;R BAHIA;1600;********;30.160-011;CENTRO;BELO HORIZONTE;MG; ;;MG;ATIVA;03/11/2005; ;********;********
16695025000197;16.695.025/0001-97 MATRIZ;18/01/1974;POLICIA MILITAR DO ESTADO DE MINAS GERAIS;PMMG;DEMAIS;84.24-8-00 - Segurança e ordem pública;Não informada;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II;4143;ANDAR 6;31.630-900;SERRA VERDE;BELO HORIZONTE;MG;DF2@PMMG.MG.GOV.BR;(31) 3915-7906/ (31) 3915-7907;MG;ATIVA;11/09/2018; ;********;********
18715532000170;18.715.532/0001-70 MATRIZ;31/12/1974;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;DEMAIS;84.22-1-00 - Defesa;84.24-8-00 - Segurança e ordem pública;102-3 - Órgão Público do Poder Executivo Estadual ou do Distrito Federal;ROD PAPA JOAO PAULO II;4143;ANDAR 4                         EDIFICIO MINAS;31.630-900;SERRA VERDE;BELO HORIZONTE;MG;CONTABILIDADE@POLICIACIVIL.MG.GOV.BR;(31) 3915-7227/ (31) 3915-7153;MG;ATIVA;11/10/2018; ;********;********
16789398000127;16.789.398/0001-27 MATRIZ;19/11/1971;FUNDACAO HELENA ANTIPOFF;********;DEMAIS;85.99-6-99 - Outras atividades de ensino não especificadas anteriormente;Não informada;114-7 - Fundação Pública de Direito Público Estadual ou do Distrito Federal;FAZ ROSARIO;SN;********;32.400-001;********;IBIRITE;MG; ;;MG;ATIVA;03/11/2005; ;********;********
